,Year,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,Unnamed: 0
157,2016,Long Island City,Coffee Shop,Hotel,Bar,Café,Gym,Brewery,Pizza Place,Italian Restaurant,Indian Restaurant,Deli / Bodega,Bubble Tea Shop,Indie Theater,Art Museum,Mexican Restaurant,Dessert Shop,Gym / Fitness Center,Climbing Gym,Office,Gym Pool,Thai Restaurant,
158,2016,Longwood,Fast Food Restaurant,Grocery Store,Sandwich Place,Donut Shop,Pharmacy,Pizza Place,Chinese Restaurant,Latin American Restaurant,Discount Store,Mexican Restaurant,Bakery,Coffee Shop,Gym,Food Truck,Bus Stop,Mobile Phone Shop,Theater,Supermarket,Nightclub,Gift Shop,
159,2016,Lower East Side,Italian Restaurant,Mexican Restaurant,Sandwich Place,Wine Shop,Café,Cocktail Bar,Coffee Shop,Juice Bar,Boutique,Garden,Bar,Bakery,Food Court,Latin American Restaurant,Shoe Store,Art Gallery,Asian Restaurant,Grocery Store,Pizza Place,Ice Cream Shop,
160,2016,Madison,Pizza Place,Donut Shop,Mobile Phone Shop,Sushi Restaurant,Pharmacy,Bagel Shop,Bank,Grocery Store,Restaurant,Gourmet Shop,Department Store,Deli / Bodega,American Restaurant,Ice Cream Shop,Supplement Shop,Sporting Goods Shop,Track,Food Truck,Basketball Court,Gym,
161,2016,Malba,Pizza Place,Cosmetics Shop,Discount Store,Chinese Restaurant,Bank,Bus Station,Coffee Shop,Diner,Ice Cream Shop,Gym,Park,Shopping Mall,Electronics Store,Clothing Store,Department Store,Big Box Store,Pharmacy,Gastropub,Fast Food Restaurant,Furniture / Home Store,
162,2016,Manhattan Beach,Italian Restaurant,Turkish Restaurant,Dessert Shop,Sandwich Place,Seafood Restaurant,Café,Eastern European Restaurant,Russian Restaurant,Bus Stop,Bar,Restaurant,Performing Arts Venue,Creperie,Boat or Ferry,Grocery Store,Greek Restaurant,Gourmet Shop,Outlet Store,Beach,Lounge,
163,2016,Manhattan Terrace,Pizza Place,Bank,Donut Shop,Sushi Restaurant,Bagel Shop,Grocery Store,Mobile Phone Shop,Pharmacy,Coffee Shop,Bakery,Fast Food Restaurant,Video Game Store,Convenience Store,Café,Department Store,Ice Cream Shop,Cosmetics Shop,Japanese Restaurant,Salad Place,Gourmet Shop,
164,2016,Manhattan Valley,Park,Coffee Shop,Grocery Store,Chinese Restaurant,Bar,Indian Restaurant,Pizza Place,Mexican Restaurant,Ice Cream Shop,Latin American Restaurant,Spa,Playground,Bagel Shop,Bakery,Italian Restaurant,Farmers Market,Yoga Studio,Wine Shop,Gym / Fitness Center,Speakeasy,
165,2016,Manhattanville,Park,Italian Restaurant,Mexican Restaurant,Coffee Shop,Café,Tennis Court,Seafood Restaurant,Pizza Place,American Restaurant,Chinese Restaurant,Cocktail Bar,Art Gallery,Historic Site,Deli / Bodega,Lounge,Theater,Indian Restaurant,Boutique,Pharmacy,Wine Shop,
166,2016,Manor Heights,Chinese Restaurant,Bus Stop,Liquor Store,Donut Shop,Deli / Bodega,Pharmacy,Pizza Place,Go Kart Track,Campground,Gym / Fitness Center,Skating Rink,Grocery Store,Bank,Bagel Shop,Sandwich Place,Mini Golf,Dog Run,IT Services,Ice Cream Shop,American Restaurant,
167,2016,Marble Hill,Park,Pizza Place,Donut Shop,Sandwich Place,Mexican Restaurant,Supermarket,Café,Spanish Restaurant,Bus Station,Scenic Lookout,Pharmacy,Bank,Gym,Bakery,Coffee Shop,Tennis Court,Bar,River,Thrift / Vintage Store,College Stadium,
168,2016,Marine Park,Clothing Store,Ice Cream Shop,American Restaurant,Mobile Phone Shop,Furniture / Home Store,Electronics Store,Diner,Deli / Bodega,Sandwich Place,Bakery,Cosmetics Shop,Gym,Italian Restaurant,Grocery Store,Bank,Bagel Shop,Coffee Shop,Accessories Store,Convenience Store,Bus Station,
169,2016,Mariner's Harbor,Ice Cream Shop,Pizza Place,Men's Store,Bus Stop,Deli / Bodega,Diner,Fast Food Restaurant,Supermarket,Pharmacy,Automotive Shop,Sandwich Place,Bagel Shop,Bakery,Nightlife Spot,Chinese Restaurant,Park,Middle Eastern Restaurant,Sushi Restaurant,Breakfast Spot,Furniture / Home Store,
170,2016,Maspeth,Pizza Place,Bank,Donut Shop,Bakery,Diner,Grocery Store,Deli / Bodega,Coffee Shop,Bus Line,Convenience Store,Park,Video Store,Café,Ice Cream Shop,Dance Studio,Discount Store,Italian Restaurant,Supermarket,Gas Station,Mobile Phone Shop,
171,2016,Melrose,Pizza Place,Mexican Restaurant,Donut Shop,Grocery Store,Sandwich Place,Pharmacy,Supermarket,Gym,Chinese Restaurant,Fast Food Restaurant,Fried Chicken Joint,Mobile Phone Shop,Latin American Restaurant,Art Gallery,Gym / Fitness Center,Kids Store,Hotel,Discount Store,Spanish Restaurant,Diner,
172,2016,Middle Village,Pizza Place,Deli / Bodega,Convenience Store,Bank,Playground,Chinese Restaurant,Grocery Store,Pharmacy,Sushi Restaurant,Donut Shop,Bagel Shop,Spa,Bus Line,Sports Bar,Bus Station,Discount Store,Bus Stop,Dance Studio,Bakery,Intersection,
173,2016,Midland Beach,Beach,Fast Food Restaurant,Bus Stop,Restaurant,Cosmetics Shop,Bagel Shop,American Restaurant,Bookstore,Baseball Field,Soccer Field,Asian Restaurant,Chinese Restaurant,Bank,Bakery,Miscellaneous Shop,Pet Store,Automotive Shop,Grocery Store,Locksmith,Eastern European Restaurant,
174,2016,Midtown,Theater,Coffee Shop,Plaza,Bakery,Gourmet Shop,American Restaurant,Hotel,Steakhouse,Bookstore,Mediterranean Restaurant,Concert Hall,Toy / Game Store,Cuban Restaurant,Sandwich Place,Pizza Place,Grocery Store,Food Truck,Cosmetics Shop,Gym,Szechuan Restaurant,
175,2016,Midtown South,Korean Restaurant,Coffee Shop,Gym / Fitness Center,Hotel,Pizza Place,Bakery,Café,American Restaurant,Vegetarian / Vegan Restaurant,Italian Restaurant,Miscellaneous Shop,Park,Sandwich Place,Martial Arts Dojo,Cuban Restaurant,Fast Food Restaurant,Golf Course,Building,Speakeasy,Museum,
176,2016,Midwood,Pizza Place,Bakery,Sushi Restaurant,Café,Ice Cream Shop,Bank,Bagel Shop,Grocery Store,Pharmacy,Coffee Shop,Convenience Store,Restaurant,Deli / Bodega,Supermarket,Japanese Restaurant,Rental Car Location,Breakfast Spot,Candy Store,Sporting Goods Shop,Performing Arts Venue,
177,2016,Mill Basin,Clothing Store,Pizza Place,Chinese Restaurant,Cosmetics Shop,Italian Restaurant,Bank,Mexican Restaurant,Mobile Phone Shop,Gym,Pharmacy,Lingerie Store,Kids Store,Bagel Shop,Electronics Store,Convenience Store,Supermarket,Shoe Store,Snack Place,American Restaurant,Donut Shop,
178,2016,Mill Island,Gym,Pizza Place,Harbor / Marina,Burger Joint,Bakery,Seafood Restaurant,Park,Golf Course,Pet Store,BBQ Joint,Hardware Store,Playground,Food Truck,Tourist Information Center,Entertainment Service,Gym Pool,Middle Eastern Restaurant,Boat or Ferry,Chinese Restaurant,Sandwich Place,
179,2016,Morningside Heights,Coffee Shop,American Restaurant,Park,Italian Restaurant,Chinese Restaurant,Grocery Store,Bakery,Seafood Restaurant,Bookstore,Playground,Sandwich Place,Pizza Place,Dog Run,Burger Joint,Farmers Market,Café,Gastropub,Wine Shop,Mexican Restaurant,Bagel Shop,
180,2016,Morris Heights,Food Truck,Pharmacy,Pizza Place,Grocery Store,Deli / Bodega,Supermarket,Fast Food Restaurant,Playground,Spanish Restaurant,Chinese Restaurant,Bus Station,Bridge,Bank,Bar,Baseball Field,Basketball Court,Gym,Food,Fried Chicken Joint,Metro Station,
181,2016,Morris Park,Pizza Place,Sandwich Place,Gym,Italian Restaurant,Pharmacy,Bank,Coffee Shop,Donut Shop,Bar,Fast Food Restaurant,Supermarket,American Restaurant,Rental Car Location,Medical Center,Mexican Restaurant,Bakery,Mobile Phone Shop,Deli / Bodega,Sushi Restaurant,Spanish Restaurant,
182,2016,Morrisania,Grocery Store,Fast Food Restaurant,Pharmacy,Sandwich Place,Pizza Place,Donut Shop,Mobile Phone Shop,Gym,Discount Store,Latin American Restaurant,Mexican Restaurant,Diner,Fish Market,Bowling Alley,Bank,Fish & Chips Shop,Seafood Restaurant,Caribbean Restaurant,Gym / Fitness Center,Spanish Restaurant,
183,2016,Mott Haven,Pizza Place,Mexican Restaurant,Donut Shop,Baseball Field,Gym,Supermarket,Discount Store,Playground,Fast Food Restaurant,Furniture / Home Store,Deli / Bodega,Steakhouse,Brewery,Bakery,Music Venue,Pharmacy,Gym / Fitness Center,Grocery Store,Sandwich Place,Peruvian Restaurant,
184,2016,Mount Eden,Pizza Place,Grocery Store,Pharmacy,Fast Food Restaurant,Chinese Restaurant,Food Truck,Deli / Bodega,Supermarket,Donut Shop,Ice Cream Shop,Bank,Spanish Restaurant,Gym,Bus Station,Fried Chicken Joint,Bar,Nightclub,Mobile Phone Shop,Bridge,Park,
185,2016,Mount Hope,Grocery Store,Pizza Place,Pharmacy,Supermarket,Fast Food Restaurant,Fried Chicken Joint,Donut Shop,Bus Station,Latin American Restaurant,Bank,Convenience Store,Sandwich Place,Food Truck,Chinese Restaurant,Restaurant,Gas Station,Moving Target,Mobile Phone Shop,Café,Nightclub,
186,2016,Murray Hill,Korean Restaurant,Coffee Shop,Japanese Restaurant,Pizza Place,Grocery Store,Bakery,Sandwich Place,Gym / Fitness Center,Gourmet Shop,Pub,Gym,Bar,Bank,Karaoke Bar,Hotel,Supermarket,Park,Burger Joint,American Restaurant,Café,
187,2016,Neponsit,Beach,Deli / Bodega,Spa,Pub,Bus Stop,Mexican Restaurant,Park,Boutique,Pizza Place,Chinese Restaurant,Bakery,Harbor / Marina,Italian Restaurant,Burger Joint,Filipino Restaurant,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field,Farm,
188,2016,New Brighton,Pizza Place,Bar,Italian Restaurant,Park,Mexican Restaurant,Donut Shop,Bus Stop,Tapas Restaurant,Garden Center,Rock Club,Sandwich Place,Farmers Market,Liquor Store,Pharmacy,Gastropub,Brewery,Caribbean Restaurant,Toy / Game Store,Convenience Store,Boat or Ferry,
189,2016,New Dorp,Italian Restaurant,Pizza Place,Kids Store,Coffee Shop,Bus Stop,Ice Cream Shop,Bank,Pharmacy,Mexican Restaurant,American Restaurant,Bagel Shop,Convenience Store,Sushi Restaurant,Asian Restaurant,Chinese Restaurant,Supermarket,Deli / Bodega,Sandwich Place,Discount Store,Dim Sum Restaurant,
190,2016,New Dorp Beach,Bank,Pharmacy,Kids Store,American Restaurant,Beach,Shopping Mall,Coffee Shop,Supermarket,Food,Supplement Shop,Discount Store,Ice Cream Shop,Baseball Field,Mexican Restaurant,Bus Stop,Sushi Restaurant,Mobile Phone Shop,Deli / Bodega,Buffet,Burger Joint,
191,2016,New Lots,Fast Food Restaurant,Deli / Bodega,Pizza Place,Pharmacy,Caribbean Restaurant,Grocery Store,Fish & Chips Shop,Park,Metro Station,Cosmetics Shop,Fried Chicken Joint,Playground,Spanish Restaurant,Breakfast Spot,Sporting Goods Shop,Sandwich Place,Coffee Shop,Bank,Health & Beauty Service,Auto Garage,
192,2016,New Springville,Coffee Shop,Pharmacy,Sandwich Place,Donut Shop,Furniture / Home Store,Electronics Store,Bagel Shop,Martial Arts Dojo,Shipping Store,Shoe Store,Gym / Fitness Center,Men's Store,Mexican Restaurant,Liquor Store,Grocery Store,Mobile Phone Shop,Paper / Office Supplies Store,Fast Food Restaurant,Sporting Goods Shop,Supplement Shop,
193,2016,Noho,Italian Restaurant,Coffee Shop,Hotel,Japanese Restaurant,Pizza Place,Mexican Restaurant,Taco Place,Café,Cocktail Bar,Bar,Deli / Bodega,Asian Restaurant,Argentinian Restaurant,Boutique,Ice Cream Shop,Wine Shop,Greek Restaurant,Gourmet Shop,Seafood Restaurant,Rock Club,
194,2016,North Corona,Latin American Restaurant,Deli / Bodega,Tennis Stadium,Pizza Place,Boat or Ferry,Mexican Restaurant,Bakery,Food Truck,Pharmacy,Museum,Supermarket,Mobile Phone Shop,Coffee Shop,Peruvian Restaurant,South American Restaurant,Science Museum,Sandwich Place,Hot Dog Joint,Rental Car Location,Wine Bar,
195,2016,North Riverdale,Pizza Place,Deli / Bodega,Bar,Coffee Shop,Bank,Pool,Park,Bus Station,Sandwich Place,Chinese Restaurant,Diner,Gym,Burger Joint,Italian Restaurant,Baseball Field,Mexican Restaurant,Market,Grocery Store,Bagel Shop,Social Club,
196,2016,North Side,Coffee Shop,Pizza Place,Yoga Studio,Wine Bar,Bakery,Cocktail Bar,American Restaurant,Jewelry Store,Japanese Restaurant,Bookstore,Mexican Restaurant,Bar,French Restaurant,Vegetarian / Vegan Restaurant,Juice Bar,Beer Garden,Ice Cream Shop,Cycle Studio,Italian Restaurant,Gastropub,
197,2016,Norwood,Pizza Place,Park,Bank,Donut Shop,Sandwich Place,Bus Station,Spanish Restaurant,Fast Food Restaurant,Mexican Restaurant,Deli / Bodega,Pharmacy,Coffee Shop,Chinese Restaurant,Caribbean Restaurant,Mobile Phone Shop,Gym,Diner,Supermarket,Food Truck,Grocery Store,
198,2016,Oakland Gardens,Chinese Restaurant,Pharmacy,Korean Restaurant,Deli / Bodega,Yoga Studio,Bank,Italian Restaurant,Coffee Shop,Sushi Restaurant,Park,Donut Shop,Bike Trail,Baseball Field,Basketball Court,Mediterranean Restaurant,Shop & Service,Middle School,Liquor Store,Taiwanese Restaurant,Gift Shop,
199,2016,Oakwood,Coffee Shop,Donut Shop,Nightlife Spot,Burger Joint,Bus Stop,Performing Arts Venue,Bank,Bagel Shop,Trail,Shipping Store,Train Station,Asian Restaurant,Sandwich Place,Playground,Supermarket,Restaurant,Deli / Bodega,Construction & Landscaping,Department Store,Kids Store,
200,2016,Ocean Hill,Fried Chicken Joint,Discount Store,Pharmacy,Fast Food Restaurant,Café,Donut Shop,Pizza Place,Restaurant,Health & Beauty Service,Playground,Sandwich Place,Chinese Restaurant,Southern / Soul Food Restaurant,Supermarket,Moving Target,Mexican Restaurant,Deli / Bodega,Indian Restaurant,Ice Cream Shop,Bus Station,
201,2016,Ocean Parkway,Bank,Donut Shop,Grocery Store,Café,Sushi Restaurant,Italian Restaurant,Steakhouse,Coffee Shop,Supermarket,Bagel Shop,Gym,Fast Food Restaurant,Middle Eastern Restaurant,Pharmacy,Pizza Place,Discount Store,Gourmet Shop,Department Store,Restaurant,Burmese Restaurant,
202,2016,Old Town,Italian Restaurant,Bus Stop,Pizza Place,Bank,Gas Station,Fast Food Restaurant,Pharmacy,Bagel Shop,Bakery,Basketball Court,Peruvian Restaurant,Bar,Liquor Store,Salon / Barbershop,Mediterranean Restaurant,Mattress Store,Construction & Landscaping,Event Service,Grocery Store,Mexican Restaurant,
203,2016,Olinville,Pizza Place,Fried Chicken Joint,Sandwich Place,Donut Shop,Supermarket,Fast Food Restaurant,Convenience Store,Pharmacy,Caribbean Restaurant,Discount Store,American Restaurant,Bar,Liquor Store,Bank,Skate Park,Chinese Restaurant,Gym / Fitness Center,Mexican Restaurant,Gym,Mobile Phone Shop,
204,2016,Ozone Park,Pizza Place,Deli / Bodega,Bank,Bus Stop,Fast Food Restaurant,Chinese Restaurant,Sandwich Place,Liquor Store,Pharmacy,Gym / Fitness Center,Grocery Store,Donut Shop,Convenience Store,Gym,Gas Station,Diner,Supermarket,Bar,Food & Drink Shop,Spa,
205,2016,Paerdegat Basin,Caribbean Restaurant,Athletics & Sports,Gym,Pizza Place,Harbor / Marina,Bakery,Bank,Fried Chicken Joint,Skate Park,Gym / Fitness Center,Deli / Bodega,Asian Restaurant,Grocery Store,Park,Bike Trail,Food,Business Service,Bus Line,Fast Food Restaurant,Supermarket,
206,2016,Park Hill,Bus Stop,Deli / Bodega,Pharmacy,Spanish Restaurant,Gym / Fitness Center,Hardware Store,Coffee Shop,Park,Automotive Shop,Pizza Place,Scenic Lookout,Athletics & Sports,Grocery Store,Filipino Restaurant,Tattoo Parlor,Peruvian Restaurant,Lake,Supermarket,Nail Salon,Indian Restaurant,
207,2016,Park Slope,Coffee Shop,Spa,Bakery,Bagel Shop,Ice Cream Shop,Gift Shop,Burger Joint,Bar,Pizza Place,Grocery Store,Farmers Market,Sushi Restaurant,Yoga Studio,Seafood Restaurant,Japanese Restaurant,Latin American Restaurant,Toy / Game Store,Plaza,Deli / Bodega,Furniture / Home Store,
208,2016,Parkchester,Pizza Place,Spanish Restaurant,Sandwich Place,Donut Shop,Supermarket,Bank,Latin American Restaurant,Diner,Mobile Phone Shop,Mexican Restaurant,Gym,American Restaurant,Ice Cream Shop,Cosmetics Shop,Park,Bar,Caribbean Restaurant,Chinese Restaurant,Plaza,Kids Store,
209,2016,Pelham Bay,Donut Shop,Italian Restaurant,Fast Food Restaurant,Sandwich Place,Convenience Store,Pizza Place,Bank,Bakery,Diner,Gym,Pharmacy,Dive Bar,Deli / Bodega,Rental Car Location,Hotel,Bar,Thai Restaurant,Sushi Restaurant,Supermarket,Sports Bar,
210,2016,Pelham Gardens,Donut Shop,Deli / Bodega,Pharmacy,Pizza Place,Bus Station,Caribbean Restaurant,Chinese Restaurant,Sandwich Place,Bank,Historic Site,Pet Store,Trail,Bakery,Rental Car Location,Bar,Hardware Store,Spa,Music Venue,Spanish Restaurant,Supermarket,
211,2016,Pelham Parkway,Pizza Place,Deli / Bodega,Bank,Bus Station,Chinese Restaurant,Sandwich Place,Bakery,Donut Shop,Italian Restaurant,Ice Cream Shop,Pharmacy,Coffee Shop,Eastern European Restaurant,Burger Joint,Gas Station,Supermarket,Playground,Sushi Restaurant,Dessert Shop,Bar,
212,2016,Pleasant Plains,Pizza Place,Liquor Store,Bakery,Donut Shop,Shopping Mall,Furniture / Home Store,Bank,Baseball Field,Toll Plaza,Hardware Store,Gift Shop,Breakfast Spot,Supplement Shop,Brewery,Bus Stop,Train Station,Pet Store,Dry Cleaner,Salon / Barbershop,Doctor's Office,
213,2016,Pomonok,Pizza Place,Deli / Bodega,Food Truck,Basketball Court,Chinese Restaurant,Bus Station,Spa,Restaurant,Health & Beauty Service,Bar,Halal Restaurant,Middle Eastern Restaurant,Golf Course,Bowling Alley,Bus Line,South American Restaurant,Automotive Shop,Shop & Service,Park,Coffee Shop,
214,2016,Port Ivory,Bar,Harbor / Marina,Bus Stop,Snack Place,Zoo Exhibit,Fish Market,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Flea Market,Flower Shop,Food,Food & Drink Shop,
215,2016,Port Morris,Baseball Field,Donut Shop,Pizza Place,Music Venue,Gym,Park,Pharmacy,Tunnel,Health Food Store,Peruvian Restaurant,Brewery,Coffee Shop,Toll Plaza,Metro Station,Chinese Restaurant,Mobile Phone Shop,Bakery,Bookstore,Gas Station,Nightclub,
216,2016,Port Richmond,Deli / Bodega,Bus Stop,Pizza Place,Chinese Restaurant,Cosmetics Shop,Mediterranean Restaurant,Bar,Pharmacy,Convenience Store,Bakery,Rental Car Location,Discount Store,Ice Cream Shop,Donut Shop,Garden,Martial Arts Dojo,Gym / Fitness Center,Gym,Beer Store,Thai Restaurant,
217,2016,Prince's Bay,Pizza Place,Pharmacy,Moving Target,Park,Chinese Restaurant,Pet Store,Sushi Restaurant,Bagel Shop,Bridal Shop,Italian Restaurant,Diner,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Daycare,Field,Filipino Restaurant,
218,2016,Prospect Heights,Bar,Mexican Restaurant,Cocktail Bar,Wine Shop,Sushi Restaurant,Café,Thai Restaurant,Pizza Place,New American Restaurant,Coffee Shop,Ice Cream Shop,Plaza,Yoga Studio,Southern / Soul Food Restaurant,Gourmet Shop,Beer Bar,Bakery,Latin American Restaurant,Restaurant,Grocery Store,
219,2016,Prospect Lefferts Gardens,Caribbean Restaurant,Café,Pizza Place,Bakery,Wine Shop,Italian Restaurant,Music Venue,Other Great Outdoors,Cocktail Bar,Liquor Store,Grocery Store,Bank,Pharmacy,Juice Bar,Playground,American Restaurant,Indian Restaurant,Discount Store,Miscellaneous Shop,Paella Restaurant,
220,2016,Prospect Park South,Caribbean Restaurant,Pizza Place,Mexican Restaurant,Grocery Store,Bar,Mobile Phone Shop,Wine Shop,Coffee Shop,Latin American Restaurant,Park,Bakery,Bank,Thai Restaurant,Health Food Store,Miscellaneous Shop,Chinese Restaurant,Burger Joint,Indian Restaurant,Café,Vegetarian / Vegan Restaurant,
221,2016,Queens Village,Liquor Store,Pizza Place,Bakery,Pharmacy,Sandwich Place,Donut Shop,Caribbean Restaurant,Bank,Chinese Restaurant,Discount Store,Bar,Market,Martial Arts Dojo,Theater,Salon / Barbershop,Arts & Crafts Store,Motorcycle Shop,Bus Station,Latin American Restaurant,Video Store,
222,2016,Queensboro Hill,Chinese Restaurant,Bakery,Supermarket,Park,Soccer Field,Flower Shop,Bus Station,Bank,Deli / Bodega,Historic Site,Playground,Intersection,College Gym,Health & Beauty Service,Baseball Field,Bar,Dumpling Restaurant,Bagel Shop,Cantonese Restaurant,Malay Restaurant,
223,2016,Queensbridge,Hotel,Coffee Shop,Café,Deli / Bodega,Italian Restaurant,Bar,Brewery,Sandwich Place,Roof Deck,Bubble Tea Shop,Supermarket,Greek Restaurant,Park,Climbing Gym,Mexican Restaurant,Gym / Fitness Center,Donut Shop,American Restaurant,Gym,Pizza Place,
224,2016,Randall Manor,Deli / Bodega,Bus Stop,Bar,Park,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Playground,Bagel Shop,Supermarket,Discount Store,Breakfast Spot,Taco Place,Botanical Garden,Concert Hall,Board Shop,Cultural Center,Tennis Court,Juice Bar,Pizza Place,
225,2016,Ravenswood,Italian Restaurant,Café,Thai Restaurant,Bar,Mexican Restaurant,Bagel Shop,Brazilian Restaurant,Greek Restaurant,Cocktail Bar,Grocery Store,Coffee Shop,Gastropub,Seafood Restaurant,Pizza Place,American Restaurant,Lounge,Deli / Bodega,Food Truck,Spa,Middle Eastern Restaurant,
226,2016,Red Hook,Park,Bar,Art Gallery,Seafood Restaurant,Café,Wine Shop,Food Truck,American Restaurant,Bagel Shop,Baseball Field,Brewery,Gym / Fitness Center,Flower Shop,Farm,Coffee Shop,Scenic Lookout,Sandwich Place,Track,Boat or Ferry,Pizza Place,
227,2016,Rego Park,Pizza Place,Bakery,Grocery Store,Sandwich Place,Sushi Restaurant,Deli / Bodega,Liquor Store,Pharmacy,Supermarket,Gym / Fitness Center,Donut Shop,Coffee Shop,Bagel Shop,Shanghai Restaurant,Restaurant,Bank,Asian Restaurant,Furniture / Home Store,Middle Eastern Restaurant,Mexican Restaurant,
228,2016,Remsen Village,Caribbean Restaurant,Grocery Store,Donut Shop,Bus Station,Moving Target,Food,Fast Food Restaurant,Liquor Store,Supermarket,Fried Chicken Joint,Food Truck,Fish Market,Deli / Bodega,Chinese Restaurant,Discount Store,Sandwich Place,Pizza Place,Metro Station,Mobile Phone Shop,Department Store,
229,2016,Richmond Hill,Indian Restaurant,Discount Store,Pizza Place,Deli / Bodega,Cosmetics Shop,Park,Clothing Store,Mexican Restaurant,Bar,Bank,Lounge,Sandwich Place,Latin American Restaurant,Playground,Chinese Restaurant,Diner,Donut Shop,Italian Restaurant,Gas Station,Caribbean Restaurant,
230,2016,Richmond Town,Italian Restaurant,Donut Shop,Japanese Restaurant,Art Museum,Diner,Sandwich Place,Pharmacy,Fast Food Restaurant,Spa,Grocery Store,Gym,Bank,Bagel Shop,Train Station,Restaurant,Ice Cream Shop,Hotpot Restaurant,Intersection,Entertainment Service,Ethiopian Restaurant,
231,2016,Richmond Valley,Fast Food Restaurant,Café,Bank,Bakery,Italian Restaurant,Pizza Place,Coffee Shop,Gym,Pharmacy,Deli / Bodega,American Restaurant,Diner,Japanese Restaurant,Sushi Restaurant,Bar,Baseball Field,Lounge,Gym / Fitness Center,IT Services,Massage Studio,
232,2016,Ridgewood,Bar,Pizza Place,Mexican Restaurant,Café,Latin American Restaurant,Restaurant,Bakery,Diner,Italian Restaurant,Gym,Grocery Store,Ice Cream Shop,Sandwich Place,Supplement Shop,Pharmacy,Bank,Coffee Shop,Cocktail Bar,Chinese Restaurant,Mobile Phone Shop,
233,2016,Riverdale,Park,Pizza Place,Bar,Deli / Bodega,Diner,Bagel Shop,Plaza,Bank,Mexican Restaurant,Japanese Restaurant,Coffee Shop,Burger Joint,Sandwich Place,Bus Station,Tapas Restaurant,Café,Thai Restaurant,Baseball Field,Restaurant,River,
234,2016,Rochdale,Deli / Bodega,Fast Food Restaurant,Southern / Soul Food Restaurant,Chinese Restaurant,Pharmacy,Sandwich Place,Bus Stop,Caribbean Restaurant,Laundromat,Candy Store,Pizza Place,Train Station,BBQ Joint,Bank,Market,Fried Chicken Joint,Bus Station,Discount Store,Japanese Restaurant,Breakfast Spot,
235,2016,Rockaway Beach,Beach,Bar,Boat or Ferry,Bagel Shop,Food Truck,Pharmacy,Pizza Place,Eastern European Restaurant,Latin American Restaurant,Fast Food Restaurant,Metro Station,Arepa Restaurant,Supermarket,Board Shop,Seafood Restaurant,Beach Bar,BBQ Joint,Wine Bar,Ice Cream Shop,Bakery,
236,2016,Rockaway Park,Beach,Pizza Place,Deli / Bodega,Donut Shop,Pharmacy,Bagel Shop,Pub,Spa,Bar,Bakery,Bank,Seafood Restaurant,Mediterranean Restaurant,Restaurant,Bed & Breakfast,Liquor Store,Event Space,Smoke Shop,Board Shop,Supermarket,
237,2016,Roosevelt Island,Park,Coffee Shop,Sushi Restaurant,Greek Restaurant,Café,Pizza Place,Cocktail Bar,Deli / Bodega,Playground,Tennis Court,Salad Place,Hotel,Gym,Liquor Store,Seafood Restaurant,Ice Cream Shop,Roof Deck,History Museum,Japanese Restaurant,Scenic Lookout,
238,2016,Rosebank,Italian Restaurant,Intersection,Bus Stop,Grocery Store,Mexican Restaurant,Deli / Bodega,Bar,Pizza Place,Gastropub,Nail Salon,Cajun / Creole Restaurant,Sandwich Place,Bagel Shop,Eastern European Restaurant,Art Museum,Pharmacy,Filipino Restaurant,Breakfast Spot,Dance Studio,Restaurant,
239,2016,Rosedale,Caribbean Restaurant,Cosmetics Shop,Furniture / Home Store,Sandwich Place,Fried Chicken Joint,Fast Food Restaurant,Pharmacy,Grocery Store,Train Station,Bank,Hardware Store,Sculpture Garden,Gym / Fitness Center,Clothing Store,Restaurant,Park,Shopping Mall,Big Box Store,Smoke Shop,Supermarket,
240,2016,Rossville,Bagel Shop,Pizza Place,Donut Shop,Golf Course,American Restaurant,Ice Cream Shop,Paintball Field,Event Space,Hardware Store,Bar,Grocery Store,Farm,Falafel Restaurant,Film Studio,Farmers Market,Fast Food Restaurant,Factory,Eye Doctor,Field,Filipino Restaurant,
241,2016,Roxbury,Baseball Field,Theater,Art Gallery,Beach,Trail,Public Art,Scenic Lookout,Pier,Sports Club,Bus Stop,Fast Food Restaurant,National Park,Snack Place,Deli / Bodega,Food Truck,Irish Pub,Field,Factory,Falafel Restaurant,Farm,
242,2016,Rugby,Caribbean Restaurant,Pizza Place,Grocery Store,Pharmacy,Mobile Phone Shop,Bank,Sandwich Place,Donut Shop,Chinese Restaurant,Fast Food Restaurant,Ice Cream Shop,Discount Store,Seafood Restaurant,Fried Chicken Joint,Burger Joint,Gym / Fitness Center,Diner,Moving Target,Gas Station,Business Service,
